0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:30 +0530] "GET /Project_4/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:30 +0530] "GET /Project_4/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:30 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/type-search-index.zip HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/member-search-index.zip HTTP/1.1" 200 6842
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/package-search-index.js HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/member-search-index.js HTTP/1.1" 200 79382
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/type-search-index.js HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /Project_4/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:31 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:36 +0530] "GET /Project_4/doc/in/co/pro4/bean/package-summary.html HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:36 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
