127.0.0.1 - - [12/Jul/2023:13:47:29 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:30 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:32 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:34 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:46 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:46 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:53 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:53 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:59 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9980
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:47:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:48:04 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:48:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:48:18 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10043
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:48:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:55:11 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:55:11 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:55:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:41 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:46 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9980
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:49 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 9987
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:52 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:54 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10158
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:59 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 8846
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:57:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:58:18 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:58:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:59:10 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 7437
0:0:0:0:0:0:0:1 - - [12/Jul/2023:13:59:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:07 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:13 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:15 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:16 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:08:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:10:25 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:10:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:10:26 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 500 1407
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:13:03 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:13:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:13:05 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 500 1407
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:15:06 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8054
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:15:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:16:08 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:16:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:16:24 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:16:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:25:38 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8061
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:25:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:37:54 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8061
0:0:0:0:0:0:0:1 - - [12/Jul/2023:14:37:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
